Name,Content Set,Type,Solutions,Description
Account Lockouts Security Event Log Search,Incident Response,Sensor,Tanium Threat Response,"Retrieves lockout events from the Windows Security Event log, in a specified time period. Also retrieves attempts to authenticate with a locked-out account. (Requires enabling account lockout auditing.)"
Action Lock Status,Base,Sensor,Tanium Default Content,"Returns whether the client is in a 'locked' state. Use the package ""Tanium Client Action Unlock"" to unlock the Client and allow actions."
Example: Action Lock On,,,,
Action Statuses,Reserved,Sensor,Tanium Default Content,The recorded state of each action a client has taken recently in the form of id:status.
Example: 1:Completed,,,,
Activation Lock Status,Core Content,Sensor,Tanium Core Content,Returns Enabled/Disabled based on whether or not Activation Lock is Enabled. MacOS only.
Active Devices,Core Content,Sensor,Tanium Core Content,All hardware devices currently in use by a computer.
Example: Microsoft PS/2 Mouse,,,,
AD Distinguished Name,Core Content,Sensor,Tanium Core Content,The full Active Directory distinguished name for the computer
"Example: CN=Win8-test5,CN=Computers,DC=corp,DC=com",,,,
AD Domain,Core Content,Sensor,Tanium Core Content,The Active Directory domain name (if any) that the computer is joined to.
Example: intra.company.com,,,,
AD Forest,Core Content,Sensor,Tanium Core Content,Returns the name of the Active Directory Forest that a machine is a member of. This may produce the same value that the Sensor named AD Domain produces.
Example: corp.domain.com,,,,
AD Organizational Unit,Core Content,Sensor,Tanium Core Content,The Active Directory organizational unit (OU) where the machine is located.
"Example: CN=Computers,DC=corp,DC=com",,,,
AD Query - Computer Attributes,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The value of the specified attribute of the computer's Active Directory object.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Computer Group Memberships,Core AD Query Content,Sensor,Tanium Core ADQuery Content,All Active Directory group memberships the computer is a member of -both explicitly and implicitly. Nested groups are also returned. The group is returned in NT format (SomeDomain\SomeGroup).
,,,,
The sensor returns the group's Well Known Name.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Computer Groups,Core AD Query Content,Sensor,Tanium Core ADQuery Content,"The distinguishedName of any Active Directory groups the computer is explicitly a member of (no nested groups). Also returns the computer's Primary Group. The group is returned from the memberOf attribute and is in RFC 1779 format (CN=TestGroup,OU=Sales,DC=MyDomain,DC=com)."
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Computer Has Group Membership,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Searches the computer's group inventory for membership in the specified group(s).
Returns True if the computer is a member of the Active Directory group.,,,,
Returns False if no match was found.,,,,
,,,,
The default comparison is performed on the group's Well Known Name.,,,,
This may be overridden by prefacing the Group input with 'name:' - causing a compare to be performed on the group's non-translated name.,,,,
The group name may be specified as groupname or domain\groupname syntax.,,,,
"Multiple groups may be specified if separated by a comma. Ex: groupname,corp\groupname",,,,
,,,,
RegEx based comparisons are also supported.,,,,
Prefacing the Group input with 'regex:' will cause a RegEx compare to be performed.,,,,
Ex: regex:name:domain.* (compare the Name attribute for a match on the provided regex),,,,
Ex: regex:domain.* (compare the Well Known Name attribute for a match on the provided regex),,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Computer Site Name,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The computer's Active Directory Site Name
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Domain Controller,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The name of the Active Directory Domain Controller responding to queries.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Domain Controller Site Name,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The Active Directory Site Name of the Domain Controller responding to queries.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Has Stale Results,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Returns True/False value based on the time the AD Query XML files were generated and a time period the Active Directory data should be considered stale.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Last Logged In User Date,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The date when the last user logged into the system
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Last Logged In User Name,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The domain\name of the last user to log into the system
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Last Logged In User Time,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The time when the last user logged into the system
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Last Run Status,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Status information recorded when the inventory script last ran.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Last Run Timing,Core AD Query Content,Sensor,Tanium Core ADQuery Content,How long the inventory script ran start to finish.
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Local Administrators,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Users and groups who are a member of the local Administrators group.
,,,,
The sensor returns the Well Known Name of users and groups.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Local Group Membership,Core AD Query Content,Sensor,Tanium Core ADQuery Content,Searches local group inventory to return group names and membership.
,,,,
The sensor returns the Well Known Name of users and groups who are a member of the specified group(s).,,,,
,,,,
Input 'all' in the Groups field to return all inventoried groups.,,,,
The group's name should be specified as groupname syntax.,,,,
"Multiple groups may be specified if separated by a comma. Ex: groupname1,groupname2",,,,
,,,,
The default comparison is performed on the group's Well Known Name.,,,,
This may be overridden by prefacing the Groups input with 'name:' - causing a compare to be performed on the group's non-translated name.,,,,
,,,,
The default member name returned is the member's Well Known Name.,,,,
This may be overridden by appending the Groups input with ':name' - causing the member's non-translated name to be returned.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Local Groups,Core AD Query Content,Sensor,Tanium Core ADQuery Content,The names of all local groups. No group members are returned.
,,,,
The sensor returns the group's Well Known Name.,,,,
,,,,
This sensor is part of the Core AD Query Content solution. It will only return data after the Collect Active Directory Info package has completed an inventory.,,,,
AD Query - Local Objects Potentially Renamed,Core AD Query Content,Sensor,Tanium Core ADQuery Content,"A multi-column list containing current object name, the well known name of the object, the object type, the system locale ID, and the system locale strings."
,,,,
