"File","RuleName","Severity","Message","Line"
"Automation.ps1","PSUseDeclaredVarsMoreThanAssignments","Warning","The variable 'registeredScripts' is assigned but never used.","1452"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Register-OneOffScript' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","473"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-RegisteredScripts' returns an object of type 'System.Object[]' but this type is not declared in the OutputType attribute.","514"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Test-ModernScript' returns an object of type 'System.Boolean' but this type is not declared in the OutputType attribute.","561"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Test-ModernScript' returns an object of type 'System.Boolean' but this type is not declared in the OutputType attribute.","612"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'New-ScriptFromTemplate' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1045"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-ScriptRepository' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1135"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Remove-ScriptFromRegistry' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1198"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-ScriptExecutionHistory' returns an object of type 'System.Object[]' but this type is not declared in the OutputType attribute.","1243"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Test-OneOffScript' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1385"
"Automation.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-ScriptMetrics' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1484"
"Configuration.ps1","PSAvoidAssignmentToAutomaticVariable","Warning","The Variable 'event' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name.","1402"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-ConfigurationStore' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","637"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Switch-ConfigurationSet' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1014"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Switch-ConfigurationSet' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1025"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-AvailableConfigurations' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1072"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Add-ConfigurationRepository' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1195"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Add-ConfigurationRepository' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1203"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Add-ConfigurationRepository' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1211"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Get-CurrentConfiguration' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1234"
"Configuration.ps1","PSUseOutputTypeCorrectly","Information","The cmdlet 'Backup-CurrentConfiguration' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute.","1296"
